state,incidents
Alabama,38149
Alaska,2704
Arizona,61337
Arkansas,12898
California,1011665
Colorado,15993
Connecticut,8727
Delaware,1592
District of Columbia,133621
Florida,8096079
Georgia,72159
Hawaii,2655
Idaho,1209
Illinois,675189
Indiana,39324
Iowa,2111
Kansas,5348
Kentucky,15654
Louisiana,116803
Maine,907
Maryland,140968
Massachusetts,15505
Michigan,404028
Minnesota,8196
Mississippi,12248
Missouri,83967
Montana,640
Nebraska,2663
Nevada,26179
New Hampshire,763
New Jersey,34992
New Mexico,8956
New York,2580966
North Carolina,34480
North Dakota,314
Ohio,68784
Oklahoma,36867
Oregon,7395
Pennsylvania,232233
Rhode Island,2080
South Carolina,15400
South Dakota,556
Tennessee,73896
Texas,473974
Utah,2569
Vermont,503
Virginia,33447
Washington,12707
West Virginia,4437
Wisconsin,24946
Wyoming,720
